ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2019,"2019",65712,118,"United States","01000US","united-states"
2019,"2019",85843,991,"Massachusetts","04000US25","massachusetts"
2019,"2019",77558,3968,"Suffolk County, MA","05000US25025","suffolk-county-ma"
2019,"2019",79018,4250,"Boston, MA","16000US2507000","boston-ma"
2019,"2019",94430,1212,"Boston-Cambridge-Newton, MA-NH","31000US14460","boston-cambridge-newton-ma-nh"
2018,"2018",61937,94,"United States","01000US","united-states"
2018,"2018",79835,970.0000000000001,"Massachusetts","04000US25","massachusetts"
2018,"2018",69985,3250,"Suffolk County, MA","05000US25025","suffolk-county-ma"
2018,"2018",71834,4237,"Boston, MA","16000US2507000","boston-ma"
2018,"2018",88711,1470,"Boston-Cambridge-Newton, MA-NH","31000US14460","boston-cambridge-newton-ma-nh"
2017,"2017",60336,86,"United States","01000US","united-states"
2017,"2017",77385,907,"Massachusetts","04000US25","massachusetts"
2017,"2017",66459,1956,"Suffolk County, MA","05000US25025","suffolk-county-ma"
2017,"2017",66758,2302,"Boston, MA","16000US2507000","boston-ma"
2017,"2017",85691,1136,"Boston-Cambridge-Newton, MA-NH","31000US14460","boston-cambridge-newton-ma-nh"
2016,"2016",57617,115,"United States","01000US","united-states"
2016,"2016",75297,771,"Massachusetts","04000US25","massachusetts"
2016,"2016",61796,1926,"Suffolk County, MA","05000US25025","suffolk-county-ma"
2016,"2016",63621,3757,"Boston, MA","16000US2507000","boston-ma"
2016,"2016",82380,1171,"Boston-Cambridge-Newton, MA-NH","31000US14460","boston-cambridge-newton-ma-nh"
2015,"2015",55775,85,"United States","01000US","united-states"
2015,"2015",70628,620,"Massachusetts","04000US25","massachusetts"
2015,"2015",56771,1946,"Suffolk County, MA","05000US25025","suffolk-county-ma"
2015,"2015",58263,2970,"Boston, MA","16000US2507000","boston-ma"
2015,"2015",78800,1642,"Boston-Cambridge-Newton, MA-NH","31000US14460","boston-cambridge-newton-ma-nh"
2014,"2014",53657,93,"United States","01000US","united-states"
2014,"2014",69160,957,"Massachusetts","04000US25","massachusetts"
2014,"2014",54585,1926.9999999999998,"Suffolk County, MA","05000US25025","suffolk-county-ma"
2014,"2014",56902,2802,"Boston, MA","16000US2507000","boston-ma"
2014,"2014",75667,874.9999999999999,"Boston-Cambridge-Newton, MA-NH","31000US14460","boston-cambridge-newton-ma-nh"
2013,"2013",52250,65,"United States","01000US","united-states"
2013,"2013",66768,715,"Massachusetts","04000US25","massachusetts"
2013,"2013",54747,2139,"Suffolk County, MA","05000US25025","suffolk-county-ma"
2013,"2013",53583,2144,"Boston, MA","16000US2507000","boston-ma"
2013,"2013",72907,989.0000000000001,"Boston-Cambridge-Newton, MA-NH","31000US14460","boston-cambridge-newton-ma-nh"
