"GEO_ID","NAME","B01001D_001E","B01001D_001M","B01001D_002E","B01001D_002M","B01001D_003E","B01001D_003M","B01001D_004E","B01001D_004M","B01001D_005E","B01001D_005M","B01001D_006E","B01001D_006M","B01001D_007E","B01001D_007M","B01001D_008E","B01001D_008M","B01001D_009E","B01001D_009M","B01001D_010E","B01001D_010M","B01001D_011E","B01001D_011M","B01001D_012E","B01001D_012M","B01001D_013E","B01001D_013M","B01001D_014E","B01001D_014M","B01001D_015E","B01001D_015M","B01001D_016E","B01001D_016M","B01001D_017E","B01001D_017M","B01001D_018E","B01001D_018M","B01001D_019E","B01001D_019M","B01001D_020E","B01001D_020M","B01001D_021E","B01001D_021M","B01001D_022E","B01001D_022M","B01001D_023E","B01001D_023M","B01001D_024E","B01001D_024M","B01001D_025E","B01001D_025M","B01001D_026E","B01001D_026M","B01001D_027E","B01001D_027M","B01001D_028E","B01001D_028M","B01001D_029E","B01001D_029M","B01001D_030E","B01001D_030M","B01001D_031E","B01001D_031M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over"
"0500000US25001","Barnstable County, Massachusetts","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US25003","Berkshire County, Massachusetts","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US25005","Bristol County, Massachusetts","12071","1081","5189","738","446","324","316","225","597","250","152","166","0","210","84","129","267","271","161","184","868","504","1347","542","679","295","107","174","165","183","0","210","6882","671","133","139","276","287","770","383","397","216","236","385","214","255","984","458","776","488","1007","464","937","520","688","306","284","262","0","210","180","280"
"0500000US25009","Essex County, Massachusetts","26451","1213","11961","779","650","295","496","275","1302","372","253","192","235","163","852","218","593","267","1145","41","2347","36","1511","412","1372","114","619","265","586","272","0","210","14490","756","621","197","1032","282","932","253","485","288","214","239","719","404","1238","265","1391","156","2582","235","2282","103","1550","124","1002","331","434","354","8","16"
"0500000US25011","Franklin County, Massachusetts","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US25013","Hampden County, Massachusetts","11843","1410","5687","1092","80","130","524","515","489","444","216","185","98","119","944","304","376","330","303","357","832","395","737","384","319","213","508","268","261","268","0","210","6156","483","88","109","191","182","610","276","260","161","108","152","260","389","900","413","638","373","1305","395","574","313","326","281","555","373","341","356","0","210"
"0500000US25015","Hampshire County, Massachusetts","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US25017","Middlesex County, Massachusetts","193082","3382","93657","2221","5002","759","4751","870","5927","1302","3335","344","2870","292","7721","805","10506","390","9800","499","16707","353","12454","505","7896","269","4019","271","2159","447","510","447","99425","1782","5915","478","5037","1147","5392","992","2819","394","2851","407","8403","491","10317","482","10750","519","17355","725","13609","328","8919","159","4727","384","2508","424","823","432"
"0500000US25021","Norfolk County, Massachusetts","75549","2494","34553","1542","1827","529","2565","591","1464","470","1308","186","638","379","1950","479","2851","347","3489","197","6747","285","4727","513","3442","231","2200","210","553","302","792","302","40996","1339","2551","320","1754","426","2732","592","1389","241","1074","444","2816","439","3424","177","4080","154","7489","372","5764","275","3937","307","2445","72","1216","371","325","237"
"0500000US25023","Plymouth County, Massachusetts","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US25025","Suffolk County, Massachusetts","71002","1562","32803","1078","1270","362","1053","445","1125","376","1045","432","1730","210","4134","215","4901","202","3435","209","4019","443","3416","378","2918","101","2027","210","1075","460","655","460","38199","865","1124","305","1020","465","1350","529","772","393","2664","920","5042","892","5309","168","4074","333","4780","266","3934","274","3431","106","2382","210","1793","389","524","389"
"0500000US25027","Worcester County, Massachusetts","40568","1744","19504","1078","738","442","957","537","1233","381","969","152","680","436","1708","446","1694","165","1788","285","3436","274","3031","127","1801","210","946","210","157","131","366","149","21064","1109","1100","567","1463","507","1269","526","914","249","743","380","1483","398","1770","203","1740","287","3759","390","3029","158","1849","162","1081","437","864","437","0","210"
