,2019,,2000,,1990,
,Foreign Born,U.S. Born,Foreign Born,U.S. Born,Foreign Born,U.S. Born
Number,"1,190,192","5,702,311","772,983","5,576,114","573,733","5,442,692"
% Foreign Born,17.30%,,12.20%,,9.50%,
Population Change over Time,,,,,,
% change: 2000-2019,54.00%,2.30%,,,,
% change: 1990-2000,34.70%,2.50%,,,,
Race (%),,,,,,
One race,96.00%,96.40%,,,,
White,40.80%,84.50%,,,,
Black or African American,16.80%,6.00%,,,,
American Indian and Alaska Native,0.20%,0.30%,,,,
Asian,27.10%,2.60%,,,,
Native Hawaiian and other Pacific Islander,0.00%,0.00%,,,,
Other race,11.20%,2.90%,,,,
Two or more races,4.00%,3.60%,,,,
Latino Origin (of any race),,,,,,
Number,"273,584","580,151",,,,
% Latino,23.00%,10.20%,,,,
Age Groups (%),,,,,,
Under 5,0.80%,6.10%,,,,
5-17,5.50%,16.30%,,,,
18-64,77.70%,60.40%,,,,
65 and older,16.00%,17.20%,,,,
Median Age,43.9,38,,,,
Gender (% female),51.80%,51.40%,,,,
Marital Status (15 and older) (%),,,,,,
Never married,27.40%,39.80%,,,,
Married,56.90%,43.80%,,,,
"Separated, divorced, or widowed",15.70%,16.40%,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
U.S. Born,,,,,,
"5,576,114",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
