"GEO_ID","NAME","B01001D_001E","B01001D_001M","B01001D_002E","B01001D_002M","B01001D_003E","B01001D_003M","B01001D_004E","B01001D_004M","B01001D_005E","B01001D_005M","B01001D_006E","B01001D_006M","B01001D_007E","B01001D_007M","B01001D_008E","B01001D_008M","B01001D_009E","B01001D_009M","B01001D_010E","B01001D_010M","B01001D_011E","B01001D_011M","B01001D_012E","B01001D_012M","B01001D_013E","B01001D_013M","B01001D_014E","B01001D_014M","B01001D_015E","B01001D_015M","B01001D_016E","B01001D_016M","B01001D_017E","B01001D_017M","B01001D_018E","B01001D_018M","B01001D_019E","B01001D_019M","B01001D_020E","B01001D_020M","B01001D_021E","B01001D_021M","B01001D_022E","B01001D_022M","B01001D_023E","B01001D_023M","B01001D_024E","B01001D_024M","B01001D_025E","B01001D_025M","B01001D_026E","B01001D_026M","B01001D_027E","B01001D_027M","B01001D_028E","B01001D_028M","B01001D_029E","B01001D_029M","B01001D_030E","B01001D_030M","B01001D_031E","B01001D_031M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over"
"0500000US25001","Barnstable County, Massachusetts","3066","210","1336","173","84","51","94","81","136","93","141","74","84","69","30","37","45","59","27","42","325","103","171","34","83","32","51","26","65","36","0","28","1730","126","78","49","71","45","206","64","94","74","57","48","90","79","172","80","122","19","340","74","163","72","104","54","130","61","103","62","0","28"
"0500000US25003","Berkshire County, Massachusetts","1946","129","858","110","105","68","47","38","30","26","2","3","91","53","95","57","50","64","123","70","119","63","41","37","95","36","60","36","0","28","0","28","1088","85","36","38","23","34","96","46","87","16","71","39","120","63","12","20","157","76","188","42","79","41","134","49","58","44","27","35","0","28"
"0500000US25005","Bristol County, Massachusetts","11959","381","5400","269","411","65","504","105","464","104","248","56","211","72","420","78","379","57","393","66","844","82","712","57","476","47","205","60","117","35","16","22","6559","212","409","78","598","157","449","134","328","16","197","75","527","96","539","54","598","30","1123","38","827","63","535","63","270","37","153","30","6","10"
"0500000US25007","Dukes County, Massachusetts","53","37","8","11","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","1","2","0","19","0","19","7","11","45","33","0","19","4","6","0","19","15","25","0","19","6","13","0","19","0","19","0","19","0","19","12","13","0","19","8","11","0","19"
"0500000US25009","Essex County, Massachusetts","26351","474","12501","276","827","80","942","141","931","141","489","64","344","23","900","95","1010","45","1051","38","2111","76","1641","87","1262","25","655","27","226","70","112","67","13850","310","786","101","1016","151","898","141","555","59","295","45","994","66","1131","87","1259","87","2439","71","1949","83","1366","55","778","27","286","64","98","67"
"0500000US25011","Franklin County, Massachusetts","1143","171","599","136","57","44","38","31","37","31","34","17","16","23","16","27","79","73","41","46","67","42","73","45","75","71","66","52","0","28","0","28","544","83","0","28","10","15","33","28","17","12","14","19","0","28","100","60","90","69","60","42","101","67","33","29","79","45","7","10","0","28"
"0500000US25013","Hampden County, Massachusetts","10075","536","4759","286","344","109","188","112","453","131","190","69","157","24","427","51","318","51","372","30","770","72","653","53","471","31","334","68","69","65","13","21","5316","309","319","84","349","95","315","89","204","53","186","97","419","128","431","60","474","37","823","117","747","85","545","35","321","15","137","39","46","43"
"0500000US25015","Hampshire County, Massachusetts","8326","294","3657","242","132","99","116","66","137","65","140","72","561","162","1003","179","319","31","236","101","369","101","251","102","226","17","104","35","48","32","15","24","4669","154","41","45","94","44","226","50","28","22","1121","146","1177","157","417","37","287","15","456","15","334","50","264","40","162","45","45","39","17","25"
"0500000US25017","Middlesex County, Massachusetts","170159","1294","82631","809","5477","276","5420","414","4670","318","2699","156","2444","152","7112","313","8963","204","8875","174","14360","233","10471","179","6649","144","3389","73","1735","128","367","115","87528","711","5487","237","5155","389","5109","387","2749","129","2618","109","6950","238","9407","160","9222","197","15691","208","11323","150","7270","129","4059","83","1964","148","524","146"
