"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error"
"Total:","472,895","±5,636"
"    Male:","225,545","±3,393"
"        Under 5 years","12,759","±1,379"
"        5 to 9 years","12,805","±1,554"
"        10 to 14 years","13,231","±1,614"
"        15 to 17 years","7,904","±920"
"        18 and 19 years","7,972","±1,478"
"        20 to 24 years","18,402","±1,505"
"        25 to 29 years","23,271","±1,402"
"        30 to 34 years","21,576","±1,154"
"        35 to 44 years","37,045","±991"
"        45 to 54 years","29,807","±1,117"
"        55 to 64 years","20,667","±790"
"        65 to 74 years","12,696","±693"
"        75 to 84 years","5,655","±802"
"        85 years and over","1,755","±717"
"    Female:","247,350","±3,349"
"        Under 5 years","10,173","±961"
"        5 to 9 years","12,534","±1,308"
"        10 to 14 years","11,259","±1,372"
"        15 to 17 years","8,569","±758"
"        18 and 19 years","10,056","±1,184"
"        20 to 24 years","21,027","±1,366"
"        25 to 29 years","22,567","±1,156"
"        30 to 34 years","24,934","±941"
"        35 to 44 years","43,737","±1,346"
"        45 to 54 years","33,475","±1,296"
"        55 to 64 years","23,700","±811"
"        65 to 74 years","14,585","±894"
"        75 to 84 years","7,471","±1,039"
"        85 years and over","3,263","±899"
