"Label","United States","Massachusetts"
"Total:","331,449,281","7,029,917"
"    Population of one race:","297,600,338","6,421,050"
"        White alone","204,277,273","4,896,037"
"        Black or African American alone","41,104,200","494,029"
"        American Indian and Alaska Native alone","3,727,135","24,018"
"        Asian alone","19,886,049","507,934"
"        Native Hawaiian and Other Pacific Islander alone","689,966","2,301"
"        Some Other Race alone","27,915,715","496,731"
"    Population of two or more races:","33,848,943","608,867"
"        Population of two races:","31,890,339","571,923"
"            White; Black or African American","3,070,341","56,449"
"            White; American Indian and Alaska Native","3,968,096","41,151"
"            White; Asian","2,691,465","58,164"
"            White; Native Hawaiian and Other Pacific Islander","222,433","1,794"
"            White; Some Other Race","19,315,952","310,903"
"            Black or African American; American Indian and Alaska Native","392,853","6,011"
"            Black or African American; Asian","243,711","3,375"
"            Black or African American; Native Hawaiian and Other Pacific Islander","45,622","648"
"            Black or African American; Some Other Race","1,036,954","80,988"
"            American Indian and Alaska Native; Asian","51,011","633"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","11,811","109"
"            American Indian and Alaska Native; Some Other Race","381,361","5,177"
"            Asian; Native Hawaiian and Other Pacific Islander","219,347","994"
"            Asian; Some Other Race","187,918","3,405"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","51,464","2,122"
"        Population of three races:","1,737,832","32,278"
"            White; Black or African American; American Indian and Alaska Native","384,010","6,372"
"            White; Black or African American; Asian","121,221","1,794"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","16,985","160"
"            White; Black or African American; Some Other Race","270,044","13,544"
"            White; American Indian and Alaska Native; Asian","93,952","908"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","15,677","99"
"            White; American Indian and Alaska Native; Some Other Race","402,197","4,085"
"            White; Asian; Native Hawaiian and Other Pacific Islander","206,093","1,030"
"            White; Asian; Some Other Race","126,314","1,849"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","14,222","204"
"            Black or African American; American Indian and Alaska Native; Asian","12,538","185"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","3,083","22"
"            Black or African American; American Indian and Alaska Native; Some Other Race","27,485","1,155"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","11,674","106"
"            Black or African American; Asian; Some Other Race","13,615","473"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","3,234","147"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","4,008","20"
"            American Indian and Alaska Native; Asian; Some Other Race","4,058","36"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","1,205","22"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","6,217","67"
"        Population of four races:","196,582","4,310"
"            White; Black or African American; American Indian and Alaska Native; Asian","33,171","443"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","5,499","49"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","88,964","3,004"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","9,580","67"
"            White; Black or African American; Asian; Some Other Race","12,907","348"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","1,619","63"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","17,723","37"
"            White; American Indian and Alaska Native; Asian; Some Other Race","11,793","103"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","1,385","16"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","8,846","93"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","1,586","10"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","1,374","25"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","361","0"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1,221","48"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","553","4"
"        Population of five races:","21,685","326"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","8,632","136"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","9,141","152"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","1,137","23"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1,021","10"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1,309","5"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","445","0"
"        Population of six races:","2,505","30"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","2,505","30"
