"Label","United States","Massachusetts"
"Total:","308,745,538","6,547,629"
"    Population of one race:","299,736,465","6,375,626"
"        White alone","223,553,265","5,265,236"
"        Black or African American alone","38,929,319","434,398"
"        American Indian and Alaska Native alone","2,932,248","18,850"
"        Asian alone","14,674,252","349,768"
"        Native Hawaiian and Other Pacific Islander alone","540,013","2,223"
"        Some Other Race alone","19,107,368","305,151"
"    Two or More Races:","9,009,073","172,003"
"        Population of two races:","8,265,318","159,119"
"            White; Black or African American","1,834,212","38,964"
"            White; American Indian and Alaska Native","1,432,309","16,108"
"            White; Asian","1,623,234","32,594"
"            White; Native Hawaiian and Other Pacific Islander","169,991","1,850"
"            White; Some Other Race","1,740,924","34,355"
"            Black or African American; American Indian and Alaska Native","269,421","4,942"
"            Black or African American; Asian","185,595","2,495"
"            Black or African American; Native Hawaiian and Other Pacific Islander","50,308","1,076"
"            Black or African American; Some Other Race","314,571","16,381"
"            American Indian and Alaska Native; Asian","58,829","762"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","11,039","92"
"            American Indian and Alaska Native; Some Other Race","115,752","2,385"
"            Asian; Native Hawaiian and Other Pacific Islander","165,690","774"
"            Asian; Some Other Race","234,462","4,221"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","58,981","2,120"
"        Population of three races:","676,469","11,912"
"            White; Black or African American; American Indian and Alaska Native","230,848","5,027"
"            White; Black or African American; Asian","61,511","931"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","9,245","146"
"            White; Black or African American; Some Other Race","46,641","1,904"
"            White; American Indian and Alaska Native; Asian","45,960","488"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","8,656","80"
"            White; American Indian and Alaska Native; Some Other Race","30,941","467"
"            White; Asian; Native Hawaiian and Other Pacific Islander","143,126","491"
"            White; Asian; Some Other Race","35,786","584"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","9,181","311"
"            Black or African American; American Indian and Alaska Native; Asian","9,460","114"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","2,142","44"
"            Black or African American; American Indian and Alaska Native; Some Other Race","8,236","355"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","7,295","52"
"            Black or African American; Asian; Some Other Race","8,122","188"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","4,233","529"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","3,827","14"
"            American Indian and Alaska Native; Asian; Some Other Race","3,785","67"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","2,000","84"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","5,474","36"
"        Population of four races:","57,875","820"
"            White; Black or African American; American Indian and Alaska Native; Asian","19,018","281"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","2,673","37"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","8,757","242"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","4,852","32"
"            White; Black or African American; Asian; Some Other Race","2,420","48"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","560","32"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","11,500","40"
"            White; American Indian and Alaska Native; Asian; Some Other Race","1,535","24"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","454","12"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","3,486","25"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","1,011","7"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","539","20"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","212","13"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","574","6"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","284","1"
"        Population of five races:","8,619","137"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","6,605","102"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","1,023","22"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","182","4"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","268","3"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","443","3"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","98","3"
"        Population of six races:","792","15"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","792","15"
