Geographic Area;2010;2011;2012;2013;2014;2015;2016;2017
Massachusetts;6,566,307;6,613,583;6,663,005;6,713,315;6,762,596;6,794,228;6,823,608;6,859,789
.Barnstable County, Massachusetts;215,899;215,356;214,788;214,518;214,289;213,877;213,559;213,581
.Berkshire County, Massachusetts;131,317;130,547;130,284;129,488;128,856;127,858;127,067;126,353
.Bristol County, Massachusetts;549,166;549,308;551,120;552,379;555,090;556,863;558,070;560,941
.Dukes County, Massachusetts;16,572;16,697;16,829;17,159;17,297;17,274;17,315;17,311
.Essex County, Massachusetts;745,461;751,507;757,338;764,563;771,653;776,865;779,847;784,453
.Franklin County, Massachusetts;71,369;71,692;71,687;71,361;71,298;70,866;70,622;70,605
.Hampden County, Massachusetts;464,237;466,171;466,955;467,747;469,455;469,113;467,778;467,705
.Hampshire County, Massachusetts;159,329;160,154;160,419;160,856;160,918;160,709;161,404;161,077
.Middlesex County, Massachusetts;1,507,681;1,524,848;1,542,867;1,560,204;1,574,993;1,585,432;1,594,664;1,603,943
.Nantucket County, Massachusetts;10,168;10,133;10,313;10,569;10,839;10,940;11,100;11,205
.Norfolk County, Massachusetts;673,019;677,782;682,865;688,345;692,239;694,502;697,079;700,599
.Plymouth County, Massachusetts;495,926;498,184;499,495;502,792;506,513;509,221;512,207;515,461
.Suffolk County, Massachusetts;725,772;737,141;751,103;762,488;773,630;782,591;792,576;800,806
.Worcester County, Massachusetts;800,391;804,063;806,942;810,846;815,526;818,117;820,320;825,749
