"GEO_ID","NAME","P001001","P001002","P001003","P001004","P001005","P001006","P001007","P001008","P001009","P001010","P001011","P001012","P001013","P001014","P001015","P001016","P001017","P001018","P001019","P001020","P001021","P001022","P001023","P001024","P001025","P001026","P001027","P001028","P001029","P001030","P001031","P001032","P001033","P001034","P001035","P001036","P001037","P001038","P001039","P001040","P001041","P001042","P001043","P001044","P001045","P001046","P001047","P001048","P001049","P001050","P001051","P001052","P001053","P001054","P001055","P001056","P001057","P001058","P001059","P001060","P001061","P001062","P001063","P001064","P001065","P001066","P001067","P001068","P001069","P001070","P001071"
"id","Geographic Area Name","Total","Total!!Population of one race","Total!!Population of one race!!White alone","Total!!Population of one race!!Black or African American alone","Total!!Population of one race!!American Indian and Alaska Native alone","Total!!Population of one race!!Asian alone","Total!!Population of one race!!Native Hawaiian and Other Pacific Islander alone","Total!!Population of one race!!Some Other Race alone","Total!!Two or More Races","Total!!Two or More Races!!Population of two races","Total!!Two or More Races!!Population of two races!!White; Black or African American","Total!!Two or More Races!!Population of two races!!White; American Indian and Alaska Native","Total!!Two or More Races!!Population of two races!!White; Asian","Total!!Two or More Races!!Population of two races!!White; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of two races!!White; Some Other Race","Total!!Two or More Races!!Population of two races!!Black or African American; American Indian and Alaska Native","Total!!Two or More Races!!Population of two races!!Black or African American; Asian","Total!!Two or More Races!!Population of two races!!Black or African American; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of two races!!Black or African American; Some Other Race","Total!!Two or More Races!!Population of two races!!American Indian and Alaska Native; Asian","Total!!Two or More Races!!Population of two races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of two races!!American Indian and Alaska Native; Some Other Race","Total!!Two or More Races!!Population of two races!!Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of two races!!Asian; Some Other Race","Total!!Two or More Races!!Population of two races!!Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of three races","Total!!Two or More Races!!Population of three races!!White; Black or African American; American Indian and Alaska Native","Total!!Two or More Races!!Population of three races!!White; Black or African American; Asian","Total!!Two or More Races!!Population of three races!!White; Black or African American; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!White; Black or African American; Some Other Race","Total!!Two or More Races!!Population of three races!!White; American Indian and Alaska Native; Asian","Total!!Two or More Races!!Population of three races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!White; American Indian and Alaska Native; Some Other Race","Total!!Two or More Races!!Population of three races!!White; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!White; Asian; Some Other Race","Total!!Two or More Races!!Population of three races!!White; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of three races!!Black or African American; American Indian and Alaska Native; Asian","Total!!Two or More Races!!Population of three races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!Black or African American; American Indian and Alaska Native; Some Other Race","Total!!Two or More Races!!Population of three races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!Black or African American; Asian; Some Other Race","Total!!Two or More Races!!Population of three races!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of three races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!American Indian and Alaska Native; Asian; Some Other Race","Total!!Two or More Races!!Population of three races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of three races!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races","Total!!Two or More Races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Asian","Total!!Two or More Races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Some Other Race","Total!!Two or More Races!!Population of four races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of four races!!White; Black or African American; Asian; Some Other Race","Total!!Two or More Races!!Population of four races!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of four races!!White; American Indian and Alaska Native; Asian; Some Other Race","Total!!Two or More Races!!Population of four races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Some Other Race","Total!!Two or More Races!!Population of four races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of five races","Total!!Two or More Races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","Total!!Two or More Races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of five races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of five races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of five races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of six races","Total!!Two or More Races!!Population of six races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"0500000US25001","Barnstable County, Massachusetts","215888","211187","200194","4062","1324","2287","85","3235","4701","4189","1049","827","563","48","972","205","41","18","258","15","7","96","10","51","29","470","200","15","4","87","16","0","52","14","28","10","0","0","33","0","1","5","1","2","0","2","40","5","0","20","0","2","2","1","1","2","3","0","2","2","0","0","2","1","0","0","0","1","0","0","0"
"0500000US25003","Berkshire County, Massachusetts","131219","128405","121384","3572","251","1611","30","1557","2814","2570","1227","440","430","33","236","54","21","8","56","7","0","17","8","25","8","224","121","18","7","20","13","1","18","10","3","2","2","0","3","0","1","4","0","1","0","0","14","3","2","4","0","3","0","0","2","0","0","0","0","0","0","0","5","5","0","0","0","0","0","1","1"
"0500000US25005","Bristol County, Massachusetts","548285","533875","484794","17832","2120","10242","205","18682","14410","13107","3396","1540","1563","333","2921","352","114","52","2186","31","6","239","24","178","172","1213","419","73","14","310","26","9","73","10","43","30","6","7","91","1","29","65","2","1","3","1","80","23","3","28","1","9","5","3","3","0","1","2","1","1","0","0","10","9","1","0","0","0","0","0","0"
"0500000US25007","Dukes County, Massachusetts","16535","15966","14492","511","183","128","10","642","569","494","120","135","49","6","80","79","6","0","9","1","0","6","0","3","0","70","56","3","1","3","0","0","6","0","0","0","0","0","1","0","0","0","0","0","0","0","5","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US25009","Essex County, Massachusetts","743159","723683","608369","27985","2718","23220","303","61088","19476","18193","4990","1764","2753","170","4955","262","163","70","1475","73","12","588","67","459","392","1216","455","74","14","240","63","4","54","50","53","54","8","2","23","6","12","36","0","18","46","4","54","18","1","10","2","0","0","9","4","3","1","1","0","2","3","0","11","10","0","0","0","1","0","2","2"
"0500000US25011","Franklin County, Massachusetts","71372","69850","67239","796","214","895","13","693","1522","1368","374","442","286","33","121","41","4","4","25","2","0","5","2","16","13","147","101","8","1","7","8","1","4","8","4","2","2","0","1","0","0","0","0","0","0","0","4","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","3","0","0","0","0","0","0"
"0500000US25013","Hampden County, Massachusetts","463490","450209","354580","41644","1871","9118","233","42763","13281","12157","3828","1356","1268","182","2853","522","187","79","1034","35","17","224","51","239","282","1047","649","43","24","129","33","2","24","27","29","23","17","5","16","6","5","9","2","1","1","2","61","12","4","23","1","6","1","4","0","1","6","1","1","0","0","1","13","10","3","0","0","0","0","3","3"
"0500000US25015","Hampshire County, Massachusetts","158080","154179","140250","3925","328","7185","53","2438","3901","3532","986","535","1148","33","371","104","68","4","131","18","1","18","26","70","19","326","159","28","6","37","26","0","5","21","20","1","8","1","5","1","4","1","1","0","1","1","38","18","2","9","3","2","2","1","0","0","1","0","0","0","0","0","5","3","1","1","0","0","0","0","0"
"0500000US25017","Middlesex County, Massachusetts","1503085","1464843","1202411","70021","2571","139943","487","49410","38242","35915","7297","2917","11636","387","8367","639","614","185","1319","244","14","269","289","1505","233","2143","867","241","28","255","102","23","71","170","177","62","19","10","19","5","33","30","2","9","7","13","162","88","5","35","8","8","4","5","3","1","3","0","2","0","0","0","20","17","0","0","2","1","0","2","2"
"0500000US25019","Nantucket County, Massachusetts","10172","9986","8913","688","6","118","1","260","186","174","64","27","25","3","37","2","7","0","3","0","0","0","0","5","1","12","6","2","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US25021","Norfolk County, Massachusetts","670850(r45073)","657944","551847","38148","1091","57803","129","8926","12906","12030","2725","1128","4199","156","1410","382","305","91","915","69","2","61","88","402","97","785","290","83","5","105","50","4","26","61","52","13","13","1","29","3","14","25","0","1","4","6","69","29","1","15","4","2","3","4","1","0","5","2","1","2","0","0","21","14","6","0","0","0","1","1","1"
"0500000US25023","Plymouth County, Massachusetts","494919","482128","423133","35608","1213","5974","136","16064","12791","11751","2665","1310","1411","81","1770","352","153","118","3278","40","4","144","30","172","223","951","313","46","3","235","35","11","30","25","28","22","4","2","27","1","41","117","2","2","7","0","74","8","8","32","0","4","8","2","2","1","1","0","6","1","1","0","14","12","1","0","0","0","1","1","1"
"0500000US25025","Suffolk County, Massachusetts","722023(r45082)","693581","404269","156292","2984","59429","292","70315","28442","26098","5146","1261","3869","156","6309","1490","630","382","4890","145","21","520","117","640","522","2170","846","205","25","319","46","10","61","53","80","65","29","13","75","25","42","223","3","29","14","7","146","43","8","49","9","9","3","2","6","1","2","1","6","5","2","0","23","11","7","3","1","0","1","5","5"
"0500000US25027","Worcester County, Massachusetts","798552","779790","683361","33314","1976","31815","246","29078","18762","17541","5097","2426","3394","229","3953","458","182","65","802","82","8","198","62","456","129","1138","545","92","14","155","69","15","43","42","66","27","6","3","32","4","6","14","1","3","1","0","73","30","2","14","4","3","4","9","2","3","2","0","0","0","0","0","10","10","0","0","0","0","0","0","0"
"0400000US25","Massachusetts","6547629","6375626","5265236","434398","18850","349768","2223","305151","172003","159119","38964","16108","32594","1850","34355","4942","2495","1076","16381","762","92","2385","774","4221","2120","11912","5027","931","146","1904","488","80","467","491","584","311","114","44","355","52","188","529","14","67","84","36","820","281","37","242","32","48","32","40","24","12","25","7","20","13","6","1","137","102","22","4","3","3","3","15","15"
