"GEO_ID","NAME","B01001D_001E","B01001D_001M","B01001D_002E","B01001D_002M","B01001D_003E","B01001D_003M","B01001D_004E","B01001D_004M","B01001D_005E","B01001D_005M","B01001D_006E","B01001D_006M","B01001D_007E","B01001D_007M","B01001D_008E","B01001D_008M","B01001D_009E","B01001D_009M","B01001D_010E","B01001D_010M","B01001D_011E","B01001D_011M","B01001D_012E","B01001D_012M","B01001D_013E","B01001D_013M","B01001D_014E","B01001D_014M","B01001D_015E","B01001D_015M","B01001D_016E","B01001D_016M","B01001D_017E","B01001D_017M","B01001D_018E","B01001D_018M","B01001D_019E","B01001D_019M","B01001D_020E","B01001D_020M","B01001D_021E","B01001D_021M","B01001D_022E","B01001D_022M","B01001D_023E","B01001D_023M","B01001D_024E","B01001D_024M","B01001D_025E","B01001D_025M","B01001D_026E","B01001D_026M","B01001D_027E","B01001D_027M","B01001D_028E","B01001D_028M","B01001D_029E","B01001D_029M","B01001D_030E","B01001D_030M","B01001D_031E","B01001D_031M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over"
"0500000US25001","Barnstable County, Massachusetts","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US25003","Berkshire County, Massachusetts","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US25005","Bristol County, Massachusetts","10357","878","5187","764","505","512","113","188","878","589","399","152","86","130","616","309","244","274","288","226","602","278","740","411","357","201","232","187","127","127","0","285","5170","515","317","370","619","299","407","293","136","137","351","241","106","117","188","187","406","345","1215","375","619","302","479","228","170","202","111","178","46","73"
"0500000US25009","Essex County, Massachusetts","24298","1135","11691","608","1003","236","914","438","1068","436","534","121","367","219","860","220","933","285","646","178","1905","258","1596","71","779","351","402","372","684","309","0","285","12607","729","1008","118","946","410","831","397","596","94","313","252","918","252","996","170","985","155","2230","126","1882","285","902","230","544","276","456","291","0","285"
"0500000US25011","Franklin County, Massachusetts","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US25013","Hampden County, Massachusetts","8851","1128","4051","599","278","203","573","222","295","202","73","92","80","132","375","262","181","180","350","255","409","261","616","333","513","261","218","189","90","157","0","285","4800","766","310","219","378","286","358","287","133","122","284","235","338","300","271","270","334","230","1242","320","290","306","523","244","339","301","0","285","0","285"
"0500000US25015","Hampshire County, Massachusetts","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US25017","Middlesex County, Massachusetts","139457","2736","67379","1780","5757","468","4558","788","3798","769","2333","309","2148","381","5127","557","7118","489","7306","377","12101","571","8434","410","4873","350","2442","267","938","274","446","271","72078","1697","4835","776","5132","769","3480","691","1957","518","1944","406","6321","266","7934","436","8032","334","13209","286","9112","244","5657","174","2755","235","962","334","748","338"
"0500000US25021","Norfolk County, Massachusetts","60312","1411","27902","886","2374","251","1883","618","1737","503","1050","139","732","438","1450","484","2125","170","2609","137","5365","192","4028","285","2518","160","1197","107","796","66","38","66","32410","786","2496","181","2455","493","1615","484","877","230","1216","457","2194","514","2935","191","3270","190","5904","194","4172","151","2822","110","1440","285","831","225","183","225"
"0500000US25023","Plymouth County, Massachusetts","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US25025","Suffolk County, Massachusetts","59772","1602","28735","924","1213","250","1051","351","1222","418","531","248","1767","246","5187","172","3774","385","2476","389","3682","213","2924","186","2230","115","1488","101","760","212","430","212","31037","1060","890","350","1203","404","681","370","803","279","1613","684","5429","857","4479","286","2764","248","3923","349","3153","216","2810","285","1673","95","1151","333","465","333"
"0500000US25027","Worcester County, Massachusetts","31148","1768","15290","987","1303","390","1074","364","1455","440","449","353","715","428","756","408","1307","285","1165","316","3333","285","2030","164","954","154","367","175","319","199","63","107","15858","1011","1285","265","1267","463","1027","589","730","367","139","146","1357","308","1275","253","1679","100","3079","324","1942","178","1118","194","296","225","497","262","167","191"
